Names,Nicknames,Index,X,Y,Z,Source Count,DMN Pct,pDMN Pct,aDMN Pct,DAN Pct,FPN Pct,VN Pct,VAN Pct,SN Pct,SMN Pct,DMN Rank,pDMN Rank,aDMN Rank,DAN Rank,FPN Rank,VN Rank,VAN Rank,SN Rank,SMN Rank,RoiID,node_index,BalancedName,pDMN Pct Bal,aDMN Pct Bal,DAN Pct Bal,FPN Pct Bal,VN Pct Bal,VAN Pct Bal,SN Pct Bal,SMN Pct Bal,pDMN Rank Bal,aDMN Rank Bal,DAN Rank Bal,FPN Rank Bal,VN Rank Bal,VAN Rank Bal,SN Rank Bal,SMN Rank Bal
['Right Paracentral lobule'],['rParaL'],69,0.007126794,-0.032942584,0.066791866,8,0,0,0,0,0,0,0,0,0,37,26,13,18,32,19,26,23,15,69_r,69,Paracentrallobule'],0,0,0,0,0,0,0,0.055555556,29,15,23,35,21,29,27,11
['Left Caudate nucleus'],['lCauda'],70,-0.011767152,0.009723493,0.008070686,7,0,0,0,0,0,0,0,0,0,37,26,13,18,32,19,26,23,15,70_r,70,Caudatenucleus'],0,0,0,0,0,0,0,0,29,15,23,35,21,29,27,17
['Right Caudate nucleus'],['rCauda'],71,0.01449497,0.01077666,0.008148893,9,0,0,0,0,0,0,0,0,0,37,26,13,18,32,19,26,23,15,71_r,71,Caudatenucleus'],0,0,0,0,0,0,0,0,29,15,23,35,21,29,27,17
['Left Putamen'],['lPut'],72,-0.024208127,0.002600595,0.001070367,7,0,0,0,0,0,0,0,0.142857143,0,37,26,13,18,32,19,26,17,15,72_r,72,Putamen'],0,0,0,0,0,0.055555556,0.182539683,0,29,15,23,35,21,23,17,17
['Right Putamen'],['rPut'],73,0.027484962,0.003678571,0.001193609,9,0,0,0,0,0,0,0.111111111,0.222222222,0,37,26,13,18,32,19,23,15,15,73_r,73,Putamen'],0,0,0,0,0,0.055555556,0.182539683,0,29,15,23,35,21,23,17,17
['Left Pallidum'],['lPall'],74,-0.018061433,-0.001358362,-0.001044369,2,0,0,0,0,0,0,0,0,0,37,26,13,18,32,19,26,23,15,74_r,74,Pallidum'],0,0,0,0,0,0,0,0,29,15,23,35,21,29,27,17
['Right Pallidum'],['rPall'],75,0.020921429,-0.001057143,-0.001085714,1,0,0,0,0,0,0,0,0,0,37,26,13,18,32,19,26,23,15,75_r,75,Pallidum'],0,0,0,0,0,0,0,0,29,15,23,35,21,29,27,17
['Left Thalamus'],['lThal'],76,-0.011198182,-0.018843636,0.006607273,9,0,0,0,0,0,0,0,0,0,37,26,13,18,32,19,26,23,15,76_r,76,Thalamus'],0,0,0,0,0,0,0,0,29,15,23,35,21,29,27,17
['Right Thalamus'],['rThal'],77,0.012703879,-0.018768212,0.006728477,9,0,0,0,0,0,0,0,0,0,37,26,13,18,32,19,26,23,15,77_r,77,Thalamus'],0,0,0,0,0,0,0,0,29,15,23,35,21,29,27,17
"[""Left Heschl's gyrus""]",['lHeschl'],78,-0.042346667,-0.020035556,0.008675556,3,0,0,0,0,0,0,0,0,0,37,26,13,18,32,19,26,23,15,78_r,78,"Heschl'sgyrus""]",0,0,0,0,0,0,0,0,29,15,23,35,21,29,27,17
