,Names,Nicknames,Index,X,Y,Z,Source Count,DMN Pct,pDMN Pct,aDMN Pct,DAN Pct,FPN Pct,VN Pct,VAN Pct,SN Pct,SMN Pct,DMN Rank,pDMN Rank,aDMN Rank,DAN Rank,FPN Rank,VN Rank,VAN Rank,SN Rank,SMN Rank,RoiID,node_index,BalancedName,pDMN Pct Bal,aDMN Pct Bal,DAN Pct Bal,FPN Pct Bal,VN Pct Bal,VAN Pct Bal,SN Pct Bal,SMN Pct Bal,pDMN Rank Bal,aDMN Rank Bal,DAN Rank Bal,FPN Rank Bal,VN Rank Bal,VAN Rank Bal,SN Rank Bal,SMN Rank Bal
47,['Right Lingual gyrus'],['rLingual'],47,0.016077391,-0.068141739,-0.005215652,18,0.0,0.0,0.0,0.0,0.0,0.555555556,0.0,0.0,0.0,37,26.0,13.0,18.0,32.0,7.0,26.0,23.0,15.0,47_r,47,Lingualgyrus'],0.0,0.0,0.0,0.0,0.634920635,0.0,0.0,0.0,29.0,15.0,23.0,35.0,5.0,29.0,27.0,17.0
48,['Left Superior Occipital lobe'],['lSOccL'],48,-0.016756955,-0.085610542,0.026853587,11,0.0,0.0,0.0,0.0,0.272727273,0.181818182,0.0,0.0,0.0,37,26.0,13.0,18.0,16.0,12.0,26.0,23.0,15.0,48_r,48,SuperiorOccipitallobe'],0.0,0.0,0.05,0.3363636365,0.290909091,0.0,0.0,0.0,29.0,15.0,17.0,9.0,11.0,29.0,27.0,17.0
49,['Right Superior Occipital lobe'],['rSOccL'],49,0.023963199,-0.082206653,0.029265393,10,0.0,0.0,0.0,0.1,0.4,0.4,0.0,0.0,0.0,37,26.0,13.0,14.0,6.0,11.0,26.0,23.0,15.0,49_r,49,SuperiorOccipitallobe'],0.0,0.0,0.05,0.3363636365,0.290909091,0.0,0.0,0.0,29.0,15.0,17.0,9.0,11.0,29.0,27.0,17.0
50,['Left Middle Occipital lobe'],['lMOccL'],50,-0.032617125,-0.082021407,0.014767584,29,0.068965517,0.068965517,0.0,0.068965517,0.103448276,0.448275862,0.0,0.0,0.0,33,23.0,13.0,16.0,28.0,10.0,26.0,23.0,15.0,50_r,50,MiddleOccipitallobe'],0.0344827585,0.0,0.0344827585,0.0811359025,0.4888438135,0.0,0.0,0.0,25.0,15.0,19.0,31.0,9.0,29.0,27.0,17.0
51,['Right Middle Occipital lobe'],['rMOccL'],51,0.037127741,-0.080993327,0.018067684,17,0.0,0.0,0.0,0.0,0.058823529,0.529411765,0.0,0.0,0.0,37,26.0,13.0,18.0,30.0,9.0,26.0,23.0,15.0,51_r,51,MiddleOccipitallobe'],0.0344827585,0.0,0.0344827585,0.0811359025,0.4888438135,0.0,0.0,0.0,25.0,15.0,19.0,31.0,9.0,29.0,27.0,17.0
52,['Left Inferior Occipital lobe'],['lIOccL'],52,-0.036482465,-0.079568544,-0.009164718,8,0.0,0.0,0.0,0.0,0.0,0.625,0.0,0.0,0.0,37,26.0,13.0,18.0,32.0,5.0,26.0,23.0,15.0,52_r,52,InferiorOccipitallobe'],0.0,0.0,0.0,0.0,0.8125,0.0,0.0,0.0,29.0,15.0,23.0,35.0,1.0,29.0,27.0,17.0
53,['Right Inferior Occipital lobe'],['rIOccl'],53,0.037870576,-0.083191102,-0.008992922,5,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,37,26.0,13.0,18.0,32.0,1.0,26.0,23.0,15.0,53_r,53,InferiorOccipitallobe'],0.0,0.0,0.0,0.0,0.8125,0.0,0.0,0.0,29.0,15.0,23.0,35.0,1.0,29.0,27.0,17.0
54,['Left Fusiform gyrus'],['lFusiG'],54,-0.03138961,-0.041405195,-0.021606061,15,0.133333333,0.133333333,0.0,0.0,0.0,0.066666667,0.0,0.0,0.0,27,20.0,13.0,18.0,32.0,15.0,26.0,23.0,15.0,54_r,54,Fusiformgyrus'],0.250877193,0.0,0.0,0.0,0.11228070200000001,0.0,0.0,0.0,15.0,15.0,23.0,35.0,13.0,29.0,27.0,17.0
55,['Right Fusiform gyrus'],['rFusiG'],55,0.033659253,-0.04019857,-0.021533757,19,0.368421053,0.368421053,0.0,0.0,0.0,0.157894737,0.0,0.0,0.0,16,9.0,13.0,18.0,32.0,13.0,26.0,23.0,15.0,55_r,55,Fusiformgyrus'],0.250877193,0.0,0.0,0.0,0.11228070200000001,0.0,0.0,0.0,15.0,15.0,23.0,35.0,13.0,29.0,27.0,17.0
56,['Left Postcentral gyrus'],['lPreG'],56,-0.042904419,-0.023775437,0.047456835,34,0.0,0.0,0.0,0.147058824,0.0,0.0,0.029411765,0.0,0.294117647,37,26.0,13.0,12.0,32.0,19.0,25.0,23.0,5.0,56_r,56,Postcentralgyrus'],0.0,0.0,0.13413547250000002,0.0,0.0,0.0147058825,0.0,0.298573975,29.0,15.0,11.0,35.0,21.0,27.0,27.0,3.0
